# Test three evolutionary algorithms and benchmark the best
# ROI: RouletteWheel,	OrderCrossOver(p=1.0),	Inversion Mutation(p=1.0)
# TOI: Tournament(k=popSize/3),	OrderCrossOver(p=1.0),	Inversion Mutation(p=1.0)
# TOS: Tournament(k=popSize/3),	OrderCrossOver(p=1.0),	Swap Mutation(p=1.0
# Notes: Results for PR2392 and USA13509 will come at the end because of long time of running.
# Notes: Results are in CSV format

# Compare three algorithms with varying population sizes
AlgoName,FileName,PopSize,Gen,Cost
ROI,testfiles/eil101.tsp,20,20000,832.2719582975758
TOI,testfiles/eil101.tsp,20,0,3319.5127197813977
TOI,testfiles/eil101.tsp,20,2000,1141.308740993358
TOI,testfiles/eil101.tsp,20,5000,890.1751069321641
TOI,testfiles/eil101.tsp,20,10000,753.9622319815231
TOI,testfiles/eil101.tsp,20,20000,712.6296746773537
TOS,testfiles/eil101.tsp,20,0,3280.3709650277365
TOS,testfiles/eil101.tsp,20,2000,1460.6966834374655
TOS,testfiles/eil101.tsp,20,5000,1232.9951122940136
TOS,testfiles/eil101.tsp,20,10000,1077.4817531503736
TOS,testfiles/eil101.tsp,20,20000,981.5152149594007
ROI,testfiles/eil101.tsp,50,0,3183.0605155612043
ROI,testfiles/eil101.tsp,50,2000,1817.5432303893492
ROI,testfiles/eil101.tsp,50,5000,1565.3215564719214
ROI,testfiles/eil101.tsp,50,10000,1385.082811563006
ROI,testfiles/eil101.tsp,50,20000,1191.090102901164
TOI,testfiles/eil101.tsp,50,0,3024.3708616230438
TOI,testfiles/eil101.tsp,50,2000,1281.637786520649
TOI,testfiles/eil101.tsp,50,5000,948.4518054680959
TOI,testfiles/eil101.tsp,50,10000,766.0244531270447
TOI,testfiles/eil101.tsp,50,20000,710.5067491677524
TOS,testfiles/eil101.tsp,50,0,3179.8751675497274
TOS,testfiles/eil101.tsp,50,2000,1402.1421474269869
TOS,testfiles/eil101.tsp,50,5000,1146.4920314210167
TOS,testfiles/eil101.tsp,50,10000,1038.6052906332548
TOS,testfiles/eil101.tsp,50,20000,947.0215864117409
ROI,testfiles/eil101.tsp,100,0,3004.8200074395863
ROI,testfiles/eil101.tsp,100,2000,1880.588767576683
ROI,testfiles/eil101.tsp,100,5000,1670.9153861946074
ROI,testfiles/eil101.tsp,100,10000,1385.5675857729825
ROI,testfiles/eil101.tsp,100,20000,1253.4744577074973
TOI,testfiles/eil101.tsp,100,0,3090.2626116282204
TOI,testfiles/eil101.tsp,100,2000,1120.259387734779
TOI,testfiles/eil101.tsp,100,5000,912.8569622031448
TOI,testfiles/eil101.tsp,100,10000,791.4288348635492
TOI,testfiles/eil101.tsp,100,20000,695.8331137099116
TOS,testfiles/eil101.tsp,100,0,3014.2892331300063
TOS,testfiles/eil101.tsp,100,2000,1467.4013434192916
TOS,testfiles/eil101.tsp,100,5000,1263.7092215863725
TOS,testfiles/eil101.tsp,100,10000,1138.3304494478546
TOS,testfiles/eil101.tsp,100,20000,1024.9003232224181
ROI,testfiles/eil101.tsp,200,0,3079.890984328913
ROI,testfiles/eil101.tsp,200,2000,2161.4150062174226
ROI,testfiles/eil101.tsp,200,5000,1912.0409254370566
ROI,testfiles/eil101.tsp,200,10000,1727.0782321970792
ROI,testfiles/eil101.tsp,200,20000,1529.8520028785376
TOI,testfiles/eil101.tsp,200,0,2939.042500067946
TOI,testfiles/eil101.tsp,200,2000,1145.253371258528
TOI,testfiles/eil101.tsp,200,5000,890.744945658766
TOI,testfiles/eil101.tsp,200,10000,750.8248633603573
TOI,testfiles/eil101.tsp,200,20000,710.3478933803215
TOS,testfiles/eil101.tsp,200,0,3111.827378918204
TOS,testfiles/eil101.tsp,200,2000,1593.8579104740404
TOS,testfiles/eil101.tsp,200,5000,1231.3760214558683
TOS,testfiles/eil101.tsp,200,10000,1065.4660236840366
TOS,testfiles/eil101.tsp,200,20000,938.6626005587376
ROI,testfiles/st70.tsp,20,0,3336.4635825379733
ROI,testfiles/st70.tsp,20,2000,1483.7494397286414
ROI,testfiles/st70.tsp,20,5000,1121.160908109558
ROI,testfiles/st70.tsp,20,10000,919.8892975848521
ROI,testfiles/st70.tsp,20,20000,762.4346621567412
TOI,testfiles/st70.tsp,20,0,3218.977360823279
TOI,testfiles/st70.tsp,20,2000,1163.6989186008018
TOI,testfiles/st70.tsp,20,5000,846.165033587326
TOI,testfiles/st70.tsp,20,10000,729.3789606403458
TOI,testfiles/st70.tsp,20,20000,688.5342117424108
TOS,testfiles/st70.tsp,20,0,3290.2154714303356
TOS,testfiles/st70.tsp,20,2000,1355.5680062374925
TOS,testfiles/st70.tsp,20,5000,1074.8743149232207
TOS,testfiles/st70.tsp,20,10000,949.5013846819259
TOS,testfiles/st70.tsp,20,20000,942.3152443082595
ROI,testfiles/st70.tsp,50,0,3127.8114040333844
ROI,testfiles/st70.tsp,50,2000,1727.3161611115136
ROI,testfiles/st70.tsp,50,5000,1253.7460025164203
ROI,testfiles/st70.tsp,50,10000,1122.3318501097256
ROI,testfiles/st70.tsp,50,20000,949.9981181074834
TOI,testfiles/st70.tsp,50,0,3273.596298344636
TOI,testfiles/st70.tsp,50,2000,999.8324648346786
TOI,testfiles/st70.tsp,50,5000,786.0934840163147
TOI,testfiles/st70.tsp,50,10000,728.3147538855346
TOI,testfiles/st70.tsp,50,20000,704.8097310914935
TOS,testfiles/st70.tsp,50,0,3169.970913572474
TOS,testfiles/st70.tsp,50,2000,1515.8049357011914
TOS,testfiles/st70.tsp,50,5000,1264.0847936435391
TOS,testfiles/st70.tsp,50,10000,1069.4473632839736
TOS,testfiles/st70.tsp,50,20000,988.0722253123437
ROI,testfiles/st70.tsp,100,0,3324.215944001545
ROI,testfiles/st70.tsp,100,2000,1897.9782123726188
ROI,testfiles/st70.tsp,100,5000,1587.99497446491
ROI,testfiles/st70.tsp,100,10000,1396.784216144317
ROI,testfiles/st70.tsp,100,20000,1156.9591582374128
TOI,testfiles/st70.tsp,100,0,3358.2135505606234
TOI,testfiles/st70.tsp,100,2000,1107.7285202581809
TOI,testfiles/st70.tsp,100,5000,832.6588480110643
TOI,testfiles/st70.tsp,100,10000,753.7854294775793
TOI,testfiles/st70.tsp,100,20000,732.4698683911536
TOS,testfiles/st70.tsp,100,0,3277.937480523124
TOS,testfiles/st70.tsp,100,2000,1437.4812646033145
TOS,testfiles/st70.tsp,100,5000,1257.7428018061717
TOS,testfiles/st70.tsp,100,10000,1196.5876725179558
TOS,testfiles/st70.tsp,100,20000,1179.9816938717659
ROI,testfiles/st70.tsp,200,0,3092.364758424706
ROI,testfiles/st70.tsp,200,2000,1948.8723256963513
ROI,testfiles/st70.tsp,200,5000,1780.229700098775
ROI,testfiles/st70.tsp,200,10000,1487.7460241500803
ROI,testfiles/st70.tsp,200,20000,1216.3065899079722
TOI,testfiles/st70.tsp,200,0,3193.3530194047053
TOI,testfiles/st70.tsp,200,2000,1201.5863154487965
TOI,testfiles/st70.tsp,200,5000,878.6105640283539
TOI,testfiles/st70.tsp,200,10000,758.5562385354702
TOI,testfiles/st70.tsp,200,20000,730.6004247191086
TOS,testfiles/st70.tsp,200,0,3139.339078106271
TOS,testfiles/st70.tsp,200,2000,1404.6419308531845
TOS,testfiles/st70.tsp,200,5000,1217.5242029221517
TOS,testfiles/st70.tsp,200,10000,1104.2864377434144
